barebones para pc,"bbmscu51235ud4","barebone msi cubi 5 12m, intel core i5-1235u de hasta 4.40ghz (10 nucleos/12 subproce",2,365.00, ,"","F","msi"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","CAMARA, WEBCAM","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
camara, webcam,"acclen4xc1q4495","camara web lenovo fhd (1920x1080@30 fps), interfaz: usb 2.0 tipo-a, color negro[@@@]l",>20,46.20, ,"","Y","lenovo - thinkpad"		
camara, webcam,"cwlengxc1d66063","cámara web lenovo 510 fhd[@@@]una videocámara compatible con usb video class (uvc) di",4,44.00, ,"","Y","lenovo - idea"		
camara, webcam,"mmte9072","webcam teros te-9072, 2k, micrófono incorporado, usb 2.0[@@@]trabaja con casi todas l",>20,13.20, ,"","D","teros"		
camara, webcam,"mmte9073n","webcam teros te-9073n, 4k, micrófono incorporado,usb 2.0[@@@]descubre la cámara web t",>20,26.50, ,"","D","teros"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","CARRY-ON/EQUIPAJE DE MANO","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
carry-on/equipaje de mano,"zzaccamdtrscrrn","zz carryon amd/teros dark gren",>20,999.00, ,"","D","teros"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","CARTUCHERA / PORTACABLES","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
cartuchera / portacables,"nbacte9015bg","cartuchera / estuche / organizador / portacables teros te-acs9015, beige[@@@]cartuche",>20,5.30, ,"","D","teros"		
cartuchera / portacables,"nbacte9016bl","cartuchera / estuche / organizador / portacables teros te-acs9016, azul[@@@]cartucher",>20,5.30, ,"","D","teros"		
cartuchera / portacables,"nbacte9017db","cartuchera / estuche / organizador / portacables teros te-acs9017db, azul marino[@@@]",>20,5.30, ,"","D","teros"		
cartuchera / portacables,"zzteacs9017dbm","portacables te-acs9017db", ,999.00, ,"","Y","western digital"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","CASES ATX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
cases atx,"csatxadv1154n","csatxadv1154nno se debe transferir a ninguna sucursal, case para ensamblaje de comput", ,1000.00, ,"","Z","advance computer corp"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","CASES ATX VER2.0","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
cases atx ver2.0,"csa25bkte1036s","case con fuente teros te-1036s, full, e-atx / atx/ micro-atx / itx, usb-a, audio, 250",>20,20.70, ,"","D","teros"		
cases atx ver2.0,"csa25bkte1037s","case con fuente teros te-1037s, full, e-atx / atx/ micro-atx / itx, usb-a, audio, 250",>20,20.70, ,"","D","teros"		
cases atx ver2.0,"csa25bkte1038s","case con fuente teros te-1038s, full, e-atx / atx/ micro-atx / itx, usb-a, audio, 250",>20,21.50, ,"","D","teros"		
cases atx ver2.0,"csm45bkte1319g","case gamer teros te-1319g, mid tower, 450w, usb 3.0 / 2.0, audio, negro[@@@]el case g",>20,30.80, ,"","D","teros"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","CASES CON FUENTE P/GAMERS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
cases con fuente p/gamers,"csmsfrge120ab65","case con fuente de 650w msi mag forge 120a airflow, mid tower[@@@]puertos: 2 x usb 3.",>20,80.55, ,"","F","msi"		
cases con fuente p/gamers,"csmsfrgm100ad6","case con fuente de 600w msi mag forge m100a, micro atx tower[@@@]puertos: 1 x usb 3.2",14,61.20, ,"","F","msi"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","CASES MICRO ATX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
cases micro atx,"cscme301kgnns00","case cooler master elite 301, minitower, negro, atx, usb 3.2 gen 1 tipo-c / tipo-a, a",>20,44.25, ,"","D","cooler master"		
cases micro atx,"csm25bkte1033s","case con fuente teros te-1033s, mini tower, micro-atx / mini-itx, usb-a, audio, 250w[",>20,17.50, ,"","D","teros"		
cases micro atx,"csm25bkte1034s","case con fuente teros te-1034s, mini tower, micro-atx / mini-itx, usb-a, audio, 250w[",>20,17.50, ,"","D","teros"		
cases micro atx,"csm25bkte1035s","case con fuente teros te-1035s, mini tower, micro-atx / mini-itx, usb-a, audio, 250w[",>20,17.50, ,"","D","teros"		
cases micro atx,"css25bkte1032s","case con fuente teros te-1032s, slim, 250w, micro-atx / mini-itx, usb-a, audio[@@@]ah",>20,25.90, ,"","D","teros"		
cases micro atx,"css25bkte1039s","case teros te-1039s, slim, 250 w, usb 3.0 / usb 2.0, audio hd, dvd, negro[@@@]present",2,25.00, ,"","D","teros"		
cases micro atx,"css35bkte1040cs","case teros te-1040s, tfx, 350 w, usb 3.0 / usb 2.0, soporta itx / micro-atx / mini-at",>20,58.00, ,"","D","teros"		
_______________,"_______________","__________________________________","__________"		
